Time [s], Analyzer Name, Decoded Protocol Result
7.180847368000000,RX,0xA0
7.180934216000000,RX,0x07
7.181021064000000,RX,0x0B
7.181107912000000,RX,0x02
7.181194760000000,RX,0x04
7.181281608000000,RX,0x00
7.181368458000000,RX,0x00
7.181455306000000,RX,0x00
7.181542154000000,RX,0x00
7.181629002000000,RX,0x03
7.181715850000000,RX,0x07
7.181802698000000,RX,0xA0
7.181889548000000,RX,0x07
7.181976396000000,RX,0x0B
7.182063244000000,RX,0x02
7.182150092000000,RX,0x03
7.182236940000000,RX,0x00
7.182323788000000,RX,0x00
7.182410636000000,RX,0x00
7.182497486000000,RX,0x00
7.182584334000000,RX,0x04
7.182671182000000,RX,0x07
7.182758030000000,RX,0xA0
7.182844878000000,RX,0x07
7.182931726000000,RX,0x0B
7.183018574000000,RX,0x02
7.183105424000000,RX,0x00
7.183192272000000,RX,0x00
7.183279120000000,RX,0x01
7.183365968000000,RX,0x00
7.183452816000000,RX,0x00
7.183539664000000,RX,0xFF
7.183626514000000,RX,0x0B
7.183713362000000,RX,0xA0
7.183800210000000,RX,0x07
7.183887058000000,RX,0x0B
7.183973906000000,RX,0x02
7.184060754000000,RX,0x1F
7.184147604000000,RX,0x10
7.184234452000000,RX,0x00
7.184321300000000,RX,0x00
7.184408148000000,RX,0x00
7.184494996000000,RX,0xFF
7.184581846000000,RX,0x07
7.184668692000000,RX,0xA0
7.184755542000000,RX,0x0E
7.184842390000000,RX,0x01
7.184929238000000,RX,0x00
7.185016086000000,RX,0x02
7.185102934000000,RX,0x00
16.340350264000001,TX,0x00 (framing error)
16.852483224000000,TX,0x20
16.852578558000001,TX,0x01
16.852673889999998,TX,0x01
16.852769223999999,TX,0x01
16.852864558000000,TX,0x00
17.615274604000000,TX,0x20
17.615369938000001,TX,0x17
17.615465272000002,TX,0x03
17.615560605999999,TX,0x07
17.615655940000000,TX,0x00
17.615751274000001,TX,0x15
17.615846607999998,TX,0x02
17.615941941999999,TX,0x01
17.616037274000000,TX,0x06
17.616132608000001,TX,0x11
17.616227941999998,TX,0x07
17.616323275999999,TX,0xE4
17.616418610000000,TX,0xBA
17.616513944000001,TX,0x94
17.616609277999999,TX,0xC3
17.616704611999999,TX,0xC9
17.616799946000000,TX,0xB7
17.616895278000001,TX,0xCD
17.616990611999999,TX,0xB0
17.617085946000000,TX,0x9B
17.617181280000000,TX,0x48
17.617276614000001,TX,0x7A
17.617371947999999,TX,0x43
17.617467282000000,TX,0x8A
17.617562616000001,TX,0xE5
17.617657948000002,TX,0x5A
17.617753281999999,TX,0x19
17.619963292000001,TX,0x20
17.620058625999999,TX,0x21
17.620153960000000,TX,0x03
17.620249294000001,TX,0x07
17.620344628000002,TX,0x01
17.620439961999999,TX,0x1F
17.620535294000000,TX,0x1E
17.620630628000001,TX,0xFF
17.620725962000002,TX,0x44
17.620821295999999,TX,0x37
17.620916630000000,TX,0xDF
17.621011964000001,TX,0x01
17.621107297999998,TX,0xFF
17.621202631999999,TX,0xFF
17.621297964000000,TX,0xFF
17.621393298000001,TX,0xFF
17.621488631999998,TX,0xFF
17.567316030000001,RX,0xFF
17.567420248000001,RX,0x0B
17.567524465999998,RX,0xA0
17.567628683999999,RX,0x07
17.567732901999999,RX,0x0B
17.567837120000000,RX,0x02
17.567941338000001,RX,0x1F
17.568045556000001,RX,0x10
17.568149773999998,RX,0x00
17.568253991999999,RX,0x00
17.568340840000001,RX,0x00
17.568445057999998,RX,0xFF
17.568549275999999,RX,0x07
17.568653493999999,RX,0xA0
17.568757712000000,RX,0x0E
17.568861930000001,RX,0x01
17.568966148000001,RX,0x00
17.569070365999998,RX,0x02
17.569174583999999,RX,0x00
17.569278801999999,RX,0x04
17.569365650000002,RX,0x00
17.569469867999999,RX,0x01
17.569574085999999,RX,0x00
17.569678304000000,RX,0x5A
17.569782522000001,RX,0x09
17.569886740000001,RX,0x00
17.569990958000002,RX,0x00
17.570095175999999,RX,0x00
17.570199393999999,RX,0x00
17.570303612000000,RX,0x01
17.570390459999999,RX,0x00
17.570494677999999,RX,0xA0
17.570598896000000,RX,0x00
17.570703114000001,RX,0x01
17.570807332000001,RX,0x04
17.615274604000000,TX,0x20
17.615369938000001,TX,0x17
17.615465272000002,TX,0x03
17.615560605999999,TX,0x07
17.615655940000000,TX,0x00
17.615751274000001,TX,0x15
17.615846607999998,TX,0x02
17.615941941999999,TX,0x01
17.616037274000000,TX,0x06
17.616132608000001,TX,0x11
17.616227941999998,TX,0x07
17.616323275999999,TX,0xE4
17.616418610000000,TX,0xBA
17.616513944000001,TX,0x94
17.616609277999999,TX,0xC3
17.616704611999999,TX,0xC9
17.616799946000000,TX,0xB7
