Time [s], Analyzer Name, Decoded Protocol Result
4.015840660000000,TX,0xA0
4.015927510000000,TX,0x07
4.016014360000000,TX,0x0B
4.016101210000000,TX,0x02
4.016188060000000,TX,0x04
4.016274900000000,TX,0x00
4.016361750000000,TX,0x00
4.016448600000000,TX,0x00
4.016535450000000,TX,0x00
4.016622300000000,TX,0x03
4.016709150000000,TX,0x07
4.016795990000000,TX,0xA0
4.016882840000000,TX,0x07
4.016969690000000,TX,0x0B
4.017056540000000,TX,0x02
4.017143390000000,TX,0x03
4.017230240000000,TX,0x00
4.017317080000000,TX,0x00
4.017403930000000,TX,0x00
4.017490780000000,TX,0x00
4.017577630000000,TX,0x04
4.017664480000000,TX,0x07
4.017751320000000,TX,0xA0
4.017838170000000,TX,0x07
4.017925020000000,TX,0x0B
4.018011870000000,TX,0x02
4.018098720000000,TX,0x00
4.018185570000000,TX,0x00
4.018272410000000,TX,0x01
4.018359260000000,TX,0x00
4.018446110000000,TX,0x00
4.018532960000000,TX,0xFF
4.018619810000000,TX,0x0B
4.018706660000000,TX,0xA0
4.018793500000000,TX,0x07
4.018880350000000,TX,0x0B
4.018967200000000,TX,0x02
4.019054050000000,TX,0x1F
4.019140900000000,TX,0x10
4.019227750000000,TX,0x00
4.019314590000000,TX,0x00
4.019401440000000,TX,0x00
4.019488290000000,TX,0xFF
4.019575140000000,TX,0x07
4.019661990000000,TX,0xA0
4.019748840000000,TX,0x0E
4.019835680000000,TX,0x01
4.019922530000000,TX,0x00
4.020009380000000,TX,0x02
4.020096230000000,TX,0x00
13.519160200000000,RX,0x00 (framing error)
14.047043540000001,RX,0x20
14.047147539999999,RX,0x01
14.047242870000000,RX,0x01
14.047338209999999,RX,0x01
14.047433540000000,RX,0x00
14.794096290000001,RX,0x20
14.794191619999999,RX,0x17
14.794286960000001,RX,0x03
14.794382290000000,RX,0x07
14.794477629999999,RX,0x00
14.794572960000000,RX,0x15
14.794668290000001,RX,0x02
14.794763630000000,RX,0x01
14.794858959999999,RX,0x06
14.794954290000000,RX,0x11
14.795049629999999,RX,0x07
14.795144960000000,RX,0xE4
14.795240300000000,RX,0xBA
14.795344300000000,RX,0x94
14.795439630000001,RX,0xC3
14.795534959999999,RX,0xC9
14.795630299999999,RX,0xB7
14.795725630000000,RX,0xCD
14.795820969999999,RX,0xB0
14.795916300000000,RX,0x9B
14.796011630000001,RX,0x48
14.796106970000000,RX,0x7A
14.796202299999999,RX,0x43
14.796297630000000,RX,0x8A
14.796392969999999,RX,0xE5
14.796488300000000,RX,0x5A
14.796583640000000,RX,0x19
14.798698310000001,RX,0x20
14.798793650000000,RX,0x21
14.798888979999999,RX,0x03
14.798984310000000,RX,0x07
14.799079649999999,RX,0x01
14.799174980000000,RX,0x1F
14.799270310000001,RX,0x1E
14.799365650000000,RX,0xFF
14.799460979999999,RX,0x35
14.799556320000001,RX,0x37
14.799651649999999,RX,0xE4
14.799746980000000,RX,0x01
14.799842320000000,RX,0xFF
14.799937650000000,RX,0xFF
14.800032979999999,RX,0xFF
14.800128320000001,RX,0xFF
14.800223650000000,RX,0xFF
14.746104730000001,TX,0xFF
14.746191580000000,TX,0x0B
14.746295800000000,TX,0xA0
14.746400010000000,TX,0x07
14.746504229999999,TX,0x0B
14.746608450000000,TX,0x02
14.746712670000001,TX,0x1F
14.746816890000000,TX,0x10
14.746921100000000,TX,0x00
14.747025320000001,TX,0x00
14.747129540000000,TX,0x00
14.747216390000000,TX,0xFF
14.747320609999999,TX,0x07
14.747424820000001,TX,0xA0
14.747529040000000,TX,0x0E
14.747633260000001,TX,0x01
14.747737480000000,TX,0x00
14.747841700000000,TX,0x02
14.747945910000000,TX,0x00
14.748050129999999,TX,0x04
14.748154350000000,TX,0x00
14.748258570000001,TX,0x01
14.748362790000000,TX,0x00
14.748467000000000,TX,0x5A
14.748571220000001,TX,0x09
14.748675440000000,TX,0x00
14.748779660000000,TX,0x00
14.748883879999999,TX,0x00
14.748988089999999,TX,0x00
14.749092310000000,TX,0x01
14.749196530000001,TX,0x00
14.749300750000000,TX,0xA0
14.749404970000001,TX,0x00
14.749509180000000,TX,0x01
14.749613399999999,TX,0x04
14.794096290000001,RX,0x20
14.794191619999999,RX,0x17
14.794286960000001,RX,0x03
14.794382290000000,RX,0x07
14.794477629999999,RX,0x00
14.794572960000000,RX,0x15
14.794668290000001,RX,0x02
14.794763630000000,RX,0x01
14.794858959999999,RX,0x06
14.794954290000000,RX,0x11
14.795049629999999,RX,0x07
14.795144960000000,RX,0xE4
14.795240300000000,RX,0xBA
14.795344300000000,RX,0x94
