Time [s], Analyzer Name, Decoded Protocol Result
17.109484221999999,Async Serial,0x20
17.109579556000000,Async Serial,0x17
17.109674890000001,Async Serial,0x03
17.109770223999998,Async Serial,0x07
17.109865557999999,Async Serial,0x00
17.109960892000000,Async Serial,0x15
17.110056224000001,Async Serial,0x02
17.110151557999998,Async Serial,0x01
17.110246891999999,Async Serial,0x06
17.110342226000000,Async Serial,0x11
17.110446226000001,Async Serial,0x07
17.110541560000001,Async Serial,0xE4
17.110636893999999,Async Serial,0xBA
17.110732228000000,Async Serial,0x94
17.110827562000001,Async Serial,0xC3
17.110922894000002,Async Serial,0xC9
17.111018227999999,Async Serial,0xB7
17.111122229999999,Async Serial,0xCD
17.111217562000000,Async Serial,0xB0
17.111312896000001,Async Serial,0x9B
17.111408229999999,Async Serial,0x48
17.111503563999999,Async Serial,0x7A
17.111598898000000,Async Serial,0x43
17.111694232000001,Async Serial,0x8A
17.111789565999999,Async Serial,0xE5
17.111884898000000,Async Serial,0x5A
17.111980232000001,Async Serial,0x19
17.114190239999999,Async Serial,0x20
17.114285574000000,Async Serial,0x21
17.114380908000001,Async Serial,0x03
17.114476241999999,Async Serial,0x07
17.114571575999999,Async Serial,0x01
17.114666910000000,Async Serial,0x1F
17.114762242000001,Async Serial,0x1E
17.114857575999999,Async Serial,0xFF
17.114952910000000,Async Serial,0x44
17.115048244000000,Async Serial,0x37
17.115143578000001,Async Serial,0xDF
17.115238911999999,Async Serial,0x01
17.115334246000000,Async Serial,0x14
17.115429580000001,Async Serial,0xB4
17.115524912000001,Async Serial,0x57
17.115620245999999,Async Serial,0xAE
17.115715580000000,Async Serial,0x71
17.115810914000001,Async Serial,0xAE
17.115906248000002,Async Serial,0x10
17.116001581999999,Async Serial,0x20
17.116096916000000,Async Serial,0x20
17.116192248000001,Async Serial,0x20
17.116287581999998,Async Serial,0x20
17.116382915999999,Async Serial,0x20
17.116478250000000,Async Serial,0x53
17.116582250000000,Async Serial,0x49
17.116677584000001,Async Serial,0x4C
17.116772917999999,Async Serial,0x49
17.116868252000000,Async Serial,0x43
17.116963586000001,Async Serial,0x4F
17.117058918000001,Async Serial,0x4E
17.117154251999999,Async Serial,0x20
17.117249586000000,Async Serial,0x4C
17.117344920000001,Async Serial,0x41
17.117440254000002,Async Serial,0x42
17.117535587999999,Async Serial,0x20
17.117630922000000,Async Serial,0x20
17.118549592000001,Async Serial,0x20
17.118644926000002,Async Serial,0x05
17.118740257999999,Async Serial,0x03
17.118835592000000,Async Serial,0x04
17.118930926000001,Async Serial,0x00
17.119026259999998,Async Serial,0x08
17.119121593999999,Async Serial,0x00
17.119216928000000,Async Serial,0x08
17.119320928000000,Async Serial,0x07
17.120213597999999,Async Serial,0x20
17.120308932000000,Async Serial,0x02
17.120404266000001,Async Serial,0x03
17.120499597999999,Async Serial,0x01
17.120594931999999,Async Serial,0x04
17.120690266000000,Async Serial,0x02
23.991890368000000,Async Serial,0xFF
60.786117851999997,Async Serial,0xFF
60.786222070000001,Async Serial,0xFF
60.786326287999998,Async Serial,0xFF
60.786430506000002,Async Serial,0xFF
60.786534723999999,Async Serial,0xFF
60.786638942000003,Async Serial,0xFF
60.786743160000000,Async Serial,0xFF
60.786847377999997,Async Serial,0xFF
60.786934226000000,Async Serial,0xFF
60.787038443999997,Async Serial,0xFF
60.787142662000001,Async Serial,0xFF
60.787246879999998,Async Serial,0xFF
60.787351098000002,Async Serial,0xFF
60.787455317999999,Async Serial,0xFF
60.787559536000003,Async Serial,0xFF
60.787663752000000,Async Serial,0xFF
61.188340248000003,Async Serial,0xFF
61.188444466000000,Async Serial,0xFF
61.188548683999997,Async Serial,0xFF
61.188652902000001,Async Serial,0xFF
61.188757119999998,Async Serial,0xFF
61.188861338000002,Async Serial,0xFF
61.188965555999999,Async Serial,0xFF
61.189246752000003,Async Serial,0xFF
61.189350970000000,Async Serial,0xFF
61.189455187999997,Async Serial,0xFF
61.189559406000001,Async Serial,0xFF
61.189663623999998,Async Serial,0xFF
61.189767842000002,Async Serial,0xFF
